Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Make,Fuel,Represented Test Veh Model,Test Vehicle ID,AverageHighwayMPG,AverageCityMPG,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,EngineCylinders,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2021,aston martin,ASX,Aston Martin,Gasoline,DB11,500TT5148,35,38,0,5.2,HASXV05.2AM5,Car,600,12,AE31/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.7,22.2,1,Not eqipped,HASX10045047,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0247,0.418,466.87,0.0249,,0.0076,0.0045,18.8,MPG,17.839,17.985,21.635,,-2.53,-1.73,-1.71,40.94,0.0169,0.0271,6.81,0.0807,0.0245,TWC,Three-way catalyst,N,,,N,No averaging
2021,aston martin,ASX,Aston Martin,Gasoline,DB11,500TT5148,12,39,0,5.2,HASXV05.2AM5,Car,600,12,AE31/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.7,22.2,1,Not eqipped,HASX10045048,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.001155,0.067334,285,0.011,,,,30.9,MPG,,,,,1.36,0.44,-0.59,40.94,0.0169,0.0271,6.81,0.0807,0.0245,TWC,Three-way catalyst,N,,,N,No averaging
2021,aston martin,ASX,Aston Martin,Gasoline,DB11 V8,562TT5348,24,25,0,4,JASXV04.0AES,Car,503,8,177950,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.7,22.2,1,Not eqipped,JASX10050824,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0265,0.07,386.66,0.029,,0.0054,0.0064,22.7,MPG,22.7357,21.7727,24.8773,,-11.99,-9.26,-7.71,40.94,0.0169,0.0271,11.26,0.0919,0.0251,TWC,Three-way catalyst,N,,,N,No averaging
2021,aston martin,ASX,Aston Martin,Gasoline,DB11 V8,562TT5348,24,10,0,4,JASXV04.0AES,Car,503,8,177950,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.7,22.2,1,Not eqipped,JASX10050825,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0005,0.03,259.74,0.002,,,,33.8,MPG,,,,,-3.64,-3.21,-0.96,40.94,0.0169,0.0271,11.26,0.0919,0.0251,TWC,Three-way catalyst,N,,,N,No averaging
2021,aston martin,ASX,Aston Martin,Gasoline,DBS,7002PT7056,36,27,0,5.2,KASXV05.2AM5,Car,715,12,AE31/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.93,23,1,Not eqipped,KASX10055440,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0422,0.9848,499.69,0.0262,,0.0109,0,17.7,MPG,16.9255,16.7052,20.9239,,-0.95,-0.56,-0.58,40.94,0.0169,0.0271,6.81,0.0807,0.0245,TWC,Three-way catalyst,N,,,N,No averaging
2021,aston martin,ASX,Aston Martin,Gasoline,DBS,7002PT7056,21,13,0,5.2,KASXV05.2AM5,Car,715,12,AE31/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.93,23,1,Not eqipped,KASX10055442,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0,0.0425,290.25,0.007,,,,30.6,MPG,,,,,-2.45,-2.15,-0.08,40.94,0.0169,0.0271,6.81,0.0807,0.0245,TWC,Three-way catalyst,N,,,N,No averaging
2021,aston martin,ASX,Aston Martin,Gasoline,DBX,8001PT8342,28,13,1,4,MASXJ04.0AEX,Both,550,8,177950,A,Automatic,9,Y,4,4-Wheel Drive,2,Top gear ratio < 1,5500,3.06,21,1,Not eqipped,MASX10065716,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0018,0.1,524.222,0.005,,0.0012,,16.9,MPG,14.8635,17.036,18.2938,,-0.26,-0.2,-0.54,77.33,-0.2033,0.0347,51.64,-0.6349,0.0384,TWC,Three-way catalyst,N,,,N,No averaging
2021,aston martin,ASX,Aston Martin,Gasoline,DBX,8001PT8342,28,17,1,4,MASXJ04.0AEX,Both,550,8,177950,A,Automatic,9,Y,4,4-Wheel Drive,2,Top gear ratio < 1,5500,3.06,21,1,Not eqipped,MASX10065717,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0009,0.03,351.329,0.003,,,,25.2,MPG,,,,,-2.48,-1.95,-1.77,77.33,-0.2033,0.0347,51.64,-0.6349,0.0384,TWC,Three-way catalyst,N,,,N,No averaging
2021,aston martin,ASX,Aston Martin,Gasoline,Vantage Manual,6031PT6102,34,25,0,4,LASXV04.0AES,Car,503,8,177950,M,Manual,7,N,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3875,3.73,31,1,Not eqipped,LASX10061354,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0283,0.6,516.29,0.022,0.0004,0.00725,0.0034,17.4,MPG,17.5438,15.8532,19.6969,,0.68,-0.56,-0.29,49.58,0.4994,0.0191,30.71,0.2662,0.0201,TWC,Three-way catalyst,N,,,N,No averaging
2021,aston martin,ASX,Aston Martin,Gasoline,Vantage Manual,6031PT6102,13,19,0,4,LASXV04.0AES,Car,503,8,177950,M,Manual,7,N,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3875,3.73,31,1,Not eqipped,LASX10061355,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.00889,0.46,306.15,0.0041,,,,29.3,MPG,,,,,6.09,4.49,-0.51,49.58,0.4994,0.0191,30.71,0.2662,0.0201,TWC,Three-way catalyst,N,,,N,No averaging
2021,aston martin,ASX,Aston Martin,Gasoline,Vantage V8,600TT6106,32,38,0,4,KASXV04.0AES,Car,503,8,177950,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,2.93,24.1,1,Not eqipped,KASX10053280,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0261,0.16,393.76,0.015,0.00041,0.00616,0.0064,22.5,MPG,22.061,21.5655,25.1975,,-6.56,-5.31,-2.55,40.94,0.0169,0.0271,9.21,0.0729,0.0242,TWC,Three-way catalyst,N,,,N,No averaging
2021,aston martin,ASX,Aston Martin,Gasoline,Vantage V8,600TT6106,24,36,0,4,KASXV04.0AES,Car,503,8,177950,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,2.93,24.1,1,Not eqipped,KASX10053301,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0085,0.08,259.04,0.044,,0.0029,,34.3,MPG,,,,,-9.42,-8.17,-2.17,40.94,0.0169,0.0271,9.21,0.0729,0.0242,TWC,Three-way catalyst,N,,,N,No averaging
